analysis_token_id	record_id	family_id	language	dialect	source	form	gloss	historical_input	input_basis	input_id	input_class	old_nuclei	old_accent_count	old_accent_position	old_accent_from_right	old_accent_quantity	old_final_quantity	old_later_long	old_reconstructed	old_aspiration	old_initial_h	old_quantity_pattern	old_first_quantity	old_first_vowel	old_intervocalic_cluster	old_shape	notation	outcome	raw_outcome	modern_nuclei	accent_from_right	stress_from_right	screening_exclusions	family_analysis	family_unresolved	individual_review
f_7g7iscoydxvvm	f_7g7iscoydxvvm	30	Phal	Phal	CDIAL	ac̣hā́ru	pine	*akṣadāruka	nearest-formation	30	input-accent-undetermined	5	0				short		1	0	0	SSLSS	short	a	kṣ	VVVVVV	historical-dictionary	syllable-marked@-2	syllable-marked	3	2			Palula aac̣háaru has early accent on the final long root syllable before u, compatible with an extended tree noun and the dāru constituent. The old compound is reconstructed without an accent; dā́ru's simplex accent cannot establish the compound's original accent by itself. The missing d and altered initial cluster require the complete compound contraction history.	Read the proposed compound derivation and distinguish pine/fir species labels; do not claim a measured old-to-modern accent shift.	family-context-first-pass
f_fdbgpgbzsq5to	f_fdbgpgbzsq5to	30	Phal	Phal	liljegren	aac̣háaru	a pine tree	*akṣadāruka	nearest-formation	30	input-accent-undetermined	5	0				short		1	0	0	SSLSS	short	a	kṣ	VVVVVV	palula-mora	E@-2	E	3	2			Palula aac̣háaru has early accent on the final long root syllable before u, compatible with an extended tree noun and the dāru constituent. The old compound is reconstructed without an accent; dā́ru's simplex accent cannot establish the compound's original accent by itself. The missing d and altered initial cluster require the complete compound contraction history.	Read the proposed compound derivation and distinguish pine/fir species labels; do not claim a measured old-to-modern accent shift.	family-context-first-pass
f_qizuypbmdrndi	f_qizuypbmdrndi	30	Phal	Phal	strand	âc̣hʹâru	fir	*akṣadāruka	nearest-formation	30	input-accent-undetermined	5	0				short		1	0	0	SSLSS	short	a	kṣ	VVVVVV	strand-phonatory-accent	E@-2	E	3	2			Palula aac̣háaru has early accent on the final long root syllable before u, compatible with an extended tree noun and the dāru constituent. The old compound is reconstructed without an accent; dā́ru's simplex accent cannot establish the compound's original accent by itself. The missing d and altered initial cluster require the complete compound contraction history.	Read the proposed compound derivation and distinguish pine/fir species labels; do not claim a measured old-to-modern accent shift.	family-context-first-pass
f_zt6ecb52vfvuq	f_zt6ecb52vfvuq	43	Phal	Phal	CDIAL	ac̣hi	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	historical-dictionary	unmarked	unmarked	2				Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_jyo4vdljvgbiy	f_jyo4vdljvgbiy	43	Phal	Phal	CDIAL	īa	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	historical-dictionary	unmarked	unmarked	2			vowel-sequence-syllabicity-unresolved	Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_jk3gjx7x4u26e	f_jk3gjx7x4u26e	43	Sh	Sh	CDIAL	ac̣hī́	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	historical-dictionary	syllable-marked@-1	syllable-marked	2	1			Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_fsewlvkkrexag	f_fsewlvkkrexag	43	Sh	pales	CDIAL	aṣī́	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	historical-dictionary	syllable-marked@-1	syllable-marked	2	1			Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_bku6mqciy2vxs	f_bku6mqciy2vxs	43	Kalk	HKAT-xka	kalkoti	ic̣ii	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	kalkoti-HL-2013	unmarked	unmarked	2				Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_o5gfqjp4n5r2a	f_o5gfqjp4n5r2a	43	Kund	Kund	kund	aś	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	kundal-mixed-legacy	unmarked	unmarked	1				Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_hkqbpcmffxfsu	f_hkqbpcmffxfsu	43	Phal	Phal	liljegren	ac̣híi	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	palula-mora	E@-1	E	2	1			Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
