family_id	language	forms	analysis	unresolved	scope
47	Sh	"[{""form"": ""ac̣hēmo"", ""outcome"": ""unmarked"", ""source"": ""CDIAL"", ""dialect"": ""Sh"", ""gloss"": ""unruly, mischievous, malignant, dishonest"", ""record_id"": ""f_gqf3ftld3argy"", ""excluded"": """"}, {""form"": ""ac̣héemo"", ""outcome"": ""E@-2"", ""source"": ""degener-shina2008"", ""dialect"": ""gil"", ""gloss"": ""evil, malicious"", ""record_id"": ""f_ojvqhk5b6rhdo"", ""excluded"": """"}]"	Gilgit ac̣héemo ‘evil, malicious’ has early prominence on the final root syllable before o. The negative prefix and long ē are independently part of the reconstructed input, making the root-final adjective class plausible. The parent kṣḗma is accented, but the compound's accent is not independently recorded and must remain unknown.	Inspect the adjective paradigm and determine whether the negative formation's accent is independently attested elsewhere.	Full family context; includes other parts of speech and derivations. Only grammatically matched forms can test the adjective rule.
47	Phal	[]	Gilgit ac̣héemo ‘evil, malicious’ has early prominence on the final root syllable before o. The negative prefix and long ē are independently part of the reconstructed input, making the root-final adjective class plausible. The parent kṣḗma is accented, but the compound's accent is not independently recorded and must remain unknown.	Inspect the adjective paradigm and determine whether the negative formation's accent is independently attested elsewhere.	Full family context; includes other parts of speech and derivations. Only grammatically matched forms can test the adjective rule.
47	Sv	[]	Gilgit ac̣héemo ‘evil, malicious’ has early prominence on the final root syllable before o. The negative prefix and long ē are independently part of the reconstructed input, making the root-final adjective class plausible. The parent kṣḗma is accented, but the compound's accent is not independently recorded and must remain unknown.	Inspect the adjective paradigm and determine whether the negative formation's accent is independently attested elsewhere.	Full family context; includes other parts of speech and derivations. Only grammatically matched forms can test the adjective rule.
47	Kalk	[]	Gilgit ac̣héemo ‘evil, malicious’ has early prominence on the final root syllable before o. The negative prefix and long ē are independently part of the reconstructed input, making the root-final adjective class plausible. The parent kṣḗma is accented, but the compound's accent is not independently recorded and must remain unknown.	Inspect the adjective paradigm and determine whether the negative formation's accent is independently attested elsewhere.	Full family context; includes other parts of speech and derivations. Only grammatically matched forms can test the adjective rule.
47	Kund	[]	Gilgit ac̣héemo ‘evil, malicious’ has early prominence on the final root syllable before o. The negative prefix and long ē are independently part of the reconstructed input, making the root-final adjective class plausible. The parent kṣḗma is accented, but the compound's accent is not independently recorded and must remain unknown.	Inspect the adjective paradigm and determine whether the negative formation's accent is independently attested elsewhere.	Full family context; includes other parts of speech and derivations. Only grammatically matched forms can test the adjective rule.
47	bro	[]	Gilgit ac̣héemo ‘evil, malicious’ has early prominence on the final root syllable before o. The negative prefix and long ē are independently part of the reconstructed input, making the root-final adjective class plausible. The parent kṣḗma is accented, but the compound's accent is not independently recorded and must remain unknown.	Inspect the adjective paradigm and determine whether the negative formation's accent is independently attested elsewhere.	Full family context; includes other parts of speech and derivations. Only grammatically matched forms can test the adjective rule.
47	Ush	[]	Gilgit ac̣héemo ‘evil, malicious’ has early prominence on the final root syllable before o. The negative prefix and long ē are independently part of the reconstructed input, making the root-final adjective class plausible. The parent kṣḗma is accented, but the compound's accent is not independently recorded and must remain unknown.	Inspect the adjective paradigm and determine whether the negative formation's accent is independently attested elsewhere.	Full family context; includes other parts of speech and derivations. Only grammatically matched forms can test the adjective rule.
644	Sh	[]	Palula áaḍu is early and root-accented before final u. This fits the extended-nominal pattern and subsequent root-a lengthening after rdh reduction. Because the old dictionary also points to árdha, this family is not an unambiguous demonstration of accent reset from an exclusively oxytone ancestor.	The exact relationship of the two old accent variants must remain visible in sensitivity calculations.	Full family context; includes other parts of speech and derivations. Only grammatically matched forms can test the adjective rule.
644	Phal	"[{""form"": ""ā́ḍu"", ""outcome"": ""syllable-marked@-2"", ""source"": ""CDIAL"", ""dialect"": ""Phal"", ""gloss"": ""half-full; half"", ""record_id"": ""f_yyzsixiidsf2e"", ""excluded"": """"}, {""form"": ""ʹâḍu"", ""outcome"": ""E@-2"", ""source"": ""strand"", ""dialect"": ""Phal"", ""gloss"": ""half-full; half"", ""record_id"": ""f_yyzsixiidsf2e"", ""excluded"": """"}, {""form"": ""áaḍu"", ""outcome"": ""E@-2"", ""source"": ""liljegren"", ""dialect"": ""Phal"", ""gloss"": ""half; half of, some of; the one half; half of the people; some of them, etc."", ""record_id"": ""f_rxbwwjrwknd2c"", ""excluded"": """"}]"	Palula áaḍu is early and root-accented before final u. This fits the extended-nominal pattern and subsequent root-a lengthening after rdh reduction. Because the old dictionary also points to árdha, this family is not an unambiguous demonstration of accent reset from an exclusively oxytone ancestor.	The exact relationship of the two old accent variants must remain visible in sensitivity calculations.	Full family context; includes other parts of speech and derivations. Only grammatically matched forms can test the adjective rule.
644	Sv	[]	Palula áaḍu is early and root-accented before final u. This fits the extended-nominal pattern and subsequent root-a lengthening after rdh reduction. Because the old dictionary also points to árdha, this family is not an unambiguous demonstration of accent reset from an exclusively oxytone ancestor.	The exact relationship of the two old accent variants must remain visible in sensitivity calculations.	Full family context; includes other parts of speech and derivations. Only grammatically matched forms can test the adjective rule.
