Entry_ID	Family_ID	Concept	Language_ID	Clade	Eligibility	C1	V1	V1_Quantity	C2	C2_Structure	V2	Structure	Grammatical_Category	Input_Confidence	Confidence	Outcome	Evidence_Forms	Evidence_IDs	N_Database_Records	N_Supplemental_Observations	Notes
d63	d63	hide, subdue, be compressed	AluKurumba	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Badaga	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	R	adangu|adaku	f_oc7fe2msqzc4m;f_bpzbaxoyirfqu	6	0	Imported records marked uncertain; corroborative order only.
d63	d63	hide, subdue, be compressed	Belari	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	BettaKurumba	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Brahui	Brahui	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Eravallan	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Gadaba	C. Dravidian	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Gondi	S. Dravidian II	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Irula	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Kadar	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Kannada	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	A	aḍaŋgu|aḍagu|aḍaku|tāguḍi	f_e4siy5jtekrfw;f_c6s3bh7smuxme;f_7gcqandki3nsw;f_4tqutz2cwl7ww	7	0	Unchanged derivatives and an initial tā- ambush noun; independent status of tāguḍi unresolved, so do not count it as an independent inherited displacement.
d63	d63	hide, subdue, be compressed	Kodagu	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	R	aḍak- (aḍaki-)	f_rv77sjjjndjkm	2	0	Retains initial vowel and apical order.
d63	d63	hide, subdue, be compressed	Kolami	C. Dravidian	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	B	ḍāŋg- (ḍāŋkt-)|ḍāp- (ḍāpt-)	f_nnwitu2ittoui;f_54sjr57ks4fa6	3	0	K03 early Telugu loan diagnosis; do not count as independent innovation.
