Form_ID	Field	Original_Value	Research_Value	Evidence	Reason
f_i34pukz24dqqw	Language_ID	Kannada	Kodagu	DEDR946 p.91; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=91; directly read 2026-09-09	The oḍe/oḍa paradigms and following noun/deverbal belong after explicit Koḍ. heading.
f_l6xtr2xed6gts	Language_ID	Kannada	Kodagu	DEDR946 p.91; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=91; directly read 2026-09-09	The oḍe/oḍa paradigms and following noun/deverbal belong after explicit Koḍ. heading.
f_rdt7u6xcpmj2y	Language_ID	Kannada	Kodagu	DEDR946 p.91; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=91; directly read 2026-09-09	The oḍe/oḍa paradigms and following noun/deverbal belong after explicit Koḍ. heading.
f_wb53yd7odaxz6	Language_ID	Kannada	Kodagu	DEDR946 p.91; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=91; directly read 2026-09-09	The oḍe/oḍa paradigms and following noun/deverbal belong after explicit Koḍ. heading.
f_5tju2dg66a4wg	Language_ID	Telugu	Parji	DEDR835 p.81; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=81; directly read 2026-09-09	iluŋg follows the explicit Pa. heading; the previous Telugu verb gloss swallowed that heading.
f_o24524gveulpu	Language_ID	Kodagu	Tulu	DEDR809 p.79; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=79; directly read 2026-09-09	Only ett- (etti-) is Kodagu; ettāḍuni, ettɯ and ekkɯ follow Tu. and B-K.
f_vajx63tptoexe	Language_ID	Kodagu	Tulu	DEDR809 p.79; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=79; directly read 2026-09-09	Only ett- (etti-) is Kodagu; ettāḍuni, ettɯ and ekkɯ follow Tu. and B-K.
f_wyiw73bq3gwc6	Language_ID	Kodagu	Tulu	DEDR809 p.79; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=79; directly read 2026-09-09	Only ett- (etti-) is Kodagu; ettāḍuni, ettɯ and ekkɯ follow Tu. and B-K.
f_a7ipt7v7skt22	Language_ID	Manda	Kuwi	DEDR 705 p.69; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=69; directly read 2026-09-09	The four onion/garlic forms follow Kuwi, with F./S./Su. source labels; only preceding uli is Manda.
f_fo5alzbe4sjpy	Language_ID	Manda	Kuwi	DEDR 705 p.69; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=69; directly read 2026-09-09	The four onion/garlic forms follow Kuwi, with F./S./Su. source labels; only preceding uli is Manda.
f_gmoyvnsayoiga	Language_ID	Manda	Kuwi	DEDR 705 p.69; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=69; directly read 2026-09-09	The four onion/garlic forms follow Kuwi, with F./S./Su. source labels; only preceding uli is Manda.
f_ldltkt2zezxdo	Language_ID	Manda	Kuwi	DEDR 705 p.69; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=69; directly read 2026-09-09	The four onion/garlic forms follow Kuwi, with F./S./Su. source labels; only preceding uli is Manda.
f_7j45i7plicrwm	Language_ID	Kodagu	Telugu	DEDR 664 p.64; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=64; directly read 2026-09-09	uralu/urlu/oralu follow Te. in the original; a missed language switch attached them to Kodagu.
f_k2ix3adnipdwm	Language_ID	Kodagu	Telugu	DEDR 664 p.64; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=64; directly read 2026-09-09	uralu/urlu/oralu follow Te. in the original; a missed language switch attached them to Kodagu.
f_mhhhpmvyrmfee	Language_ID	Kodagu	Telugu	DEDR 664 p.64; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=64; directly read 2026-09-09	uralu/urlu/oralu follow Te. in the original; a missed language switch attached them to Kodagu.
