family_id	formation_basis	documented_input_alternative	analysis	unresolved
2563	lip, old a-stem body-part noun	0	Gilgit/Guresi óo~ṭo/óo~ṭi and Astori óo~ṭ preserve early accent on the inherited long root vowel. Different gender endings and their loss do not move the root accent. Nasalization and the ṣṭh-to-ṭ outcome are independent segmental changes. This is a strong retention control with both retained and lost final-vowel branches.	No accent anomaly in the principal citations; determine gender/sense distinctions before treating lip variants as independent words.
2993	crow, old a-stem animal noun	0	Palula kóok/Biori káak and Shina káa/káa~ all preserve early accent on an inherited long root. Ashret raising and Shina intervocalic/final consonant loss affect vowel quality and shape without changing the mora class. The onomatopoeic nature of crow vocabulary invites caution about renewed consonants, but the cross-branch accent correspondence is clear.	No principal accent anomaly; do not count masculine/feminine or onomatopoeic suffix variants as independent families.
3023	arrow, old a-stem nominal; both old accents explicitly attested	1	Palula kóoṇ and all four Shina kóoṇ citations have early long accent. This agrees with barytone kā́ṇḍa; the old oxytone variant prevents treating the family as an exclusively barytone input. The Biori dictionary equivalent šará is a lexical replacement, plausibly from śara ‘arrow’, and must be removed from this family's cognate outcome count. Sauji kā̃ṛa is unmarked.	Confirm the replacement's separate old link and retain both old accents in sensitivity analyses.
3084	year/time, old a-stem time noun; Iranian saal excluded separately	0	Palula kaál and Gilgit/Kohistani kaál have late long accent, with mobile inflections documented independently. An inherited unaccented long ā receives right-edge prominence when final accented a is lost. This is a core apocope comparison against early-long root-accented nouns. The forms saál/sáal belong to the Iranian year word and are lexical replacements/loans, not alternate reflexes of kālá.	All sā(l) records must be excluded from the inherited kālá tally and shown separately as contact evidence.
3696	milk, old neuter a-stem mass noun	0	Palula c̣hiír and Strand c̣hîʹr retain old ī and place accent on its second mora after loss of final accented a. This is a clean long-root oxytone apocope example with aspiration retained; aspiration is not needed to create the contrast. Sauji c̣hir lacks a reliable contour and may have reduced quantity.	No principal Palula anomaly; verify the mobile inflection independently for the paradigm table.
3735	field, old neuter a-stem land noun	0	Palula c̣híitr/Biori c̣héetr and Schmidt/Degener Shina c̣héec̣ have early accent on the inherited long root, with Ashret raising ee to ii. Buddruss's Gilgit c̣heéc instead has late accent. This is a direct primary-source disagreement in a diagnostic old-long barytone family, and must appear in the exception/source table rather than be resolved by majority vote.	Check Buddruss's printed form and paradigm; source, speaker and consonant-transcription differences may accompany the accent difference.
4336	house, old a-stem dwelling noun	0	Palula ghoóṣṭ and independently Degener/Buddruss Gilgit goóṭ have late long accent, matching final-accent apocope. Kohistani/Guresi góoṣ is early, with fixed inflection documented elsewhere, requiring a real class difference. Schmidt's Gilgit góoṭ versus Astori goóṣ belongs to a known table reversal/conflict and cannot override the independent Gilgit sources. Aspiration migration in Palula and cluster reduction in Shina are separate preconditions.	Resolve the printed table readings and Astori paradigm; do not turn an editorial reversal into a geographic sound law.
4368	village, old a-stem settlement noun	0	Palula ghróom/Biori ghráam, Astori giróom and Gilgit gáam have early accent on the inherited long root. Astori epenthesis precedes the written accent without changing its historical locus. Aspiration does not force late accent in this old-long class. Hultman2023Table6p12 explicitly gives Kalkoti draám with final High, making village a genuine residual of the simple Palula E→Kalkoti zero-High correspondence. It also lacks the Low one might predict from Palula ghr. Earlier unmarked Kalkoti draam citations supply only segmental evidence and must not erase Hultman's marked reading.	A former additional ending, lexical analogy or contact might explain Kalkoti final High, but none is independently established. Keep village separate from the identifiable teen-compound series that explains twelve and thirteen as a class. Gilgit contact variants and exact local village senses also need checking.
4531	smell, old neuter a-stem action/result noun; retained as a possible counterexample	0	Palula ghróoṇ/Strand ghrʹôṇ is early and raised despite old final accent. Unlike the transparent kālá class, the outcome requires root prominence before the aa-to-oo change, making a recent retraction after raising insufficient. An action/result noun or older adjectival formation is a possible source, but no accented alternate is supplied in the current old entry.	Keep this as an early-retraction or formation residual; aspiration cannot explain the early raised long vowel.
4931	thief, old a-stem agent noun	0	Palula čoór and Gilgit čoór are late long, fitting loss of the old final accented vowel after an unaccented long root. Gilgit čurúṭo is a separate extended/diminutive formation with root-final short accent, not an exception to the simple thief noun. This is a strong apocope example provided the two formations are kept apart.	Check inflection for the simple noun and record the derivational suffix of čurúṭo separately.
