K80_Item	Entry_ID	Concept	Source_Role	Input_Support_Tier	Process	K80_Lowering_Languages	Reconstruction_Audit	Independent_Input_Evidence	Assessment	Full_Exception_Notes	Reference
1	d1959	scoop up	positive	unknown	displacement	Kui	regional *ker-V; K80 proposes *ker-a	Konda ker independently supplies k-e-r order, but its stem notation ker- does not independently establish a following a. K80 reconstructs *ker-a from this comparison.	Konda ker supports order but supplies no -a.	Kui grāpa/grēpa is a valuable dialect contrast, but cannot independently validate the reconstructed low V2 which helps explain it. No Telugu cognate is supplied. Do not count each language’s suffix as an independent root. The regional proto-level is more defensible than a pan-Dravidian *grä already containing the outcome.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
2	d513	young, tender; young person; calf	positive	root-low-only	displacement	Kui;Kuwi;Manda	*i/eḷ-a-; *iḷ-aŋk- and human formations	Tamil iḷa/iḷam/iḷai, Kannada eḷa/eḷatu and Parji/Gadaba ile/iled independently support vowel-first short root. Exact proto *i versus *e must be separated from the secure relative vowel/lateral order.	Low young formations independent; eastern human cognacy partly reassigned using the rule.	K80’s reassignment of Kui/Kuvi young-person forms to this family partly relies on the proposed rule, so those forms cannot independently prove that same rule. Konda lēta is explicitly a Telugu loan, whereas lēŋa requires a separate inheritance/contact assessment. PSS83 p.234 labels Kolami/Naikri lēŋga borrowed; Naikri lēta has the Telugu form too. Kurux lidum may be a regional loan or another formation. Telugu nelãta adds n while keeping medial l; it is not simple metathesis. Historical ḷēnṟu titles are being separately checked in DHARMA, not treated as modern independent roots.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
3	d495	silk-cotton tree	positive	root-low-only	displacement	Kuwi	regional *il-av-; *il-a-k tree formation?	Tamil ila/ilavam/ilavu, Malayalam ilavu and Kannada elava establish initial vowel and medial lateral independently. Parji neluk has an additional initial nasal; the displayed optional *ń is a hypothesis rather than observed proto-evidence.	Southern -av versus eastern -ak; Kui is missing, not a retained counterexample.	K80 item 3 has no Kui attestation. Kuvi e versus ā is a real dialect/source contrast, not two independent roots. Parji n cannot simply be deleted from reconstruction to obtain a positive case; contact, nasal accretion and an older nasal input remain competing explanations. Badaga muccukikku means veil and is not a relevant tree-name witness.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
4	d2674	salt, brackish/astringent	positive	full-low-formation	contraction	Kui;Kuwi;Manda	*cup; *cow-ar/*cov-ar > *ow-ar	Central sup/cup preserves an initial consonant also reflected by Gondi savvar/hovar, while southern uppu and uvar independently support a stop versus intervocalic labial alternation and the low-a extended formation. Tamil uvar and Gondi havar/savvar are independent of the eastern long-vowel outcomes.	Full cow-ar/ov-ar has independent southern and Gondi support; no apical promotion.	This is evidence about lowering in contracted roots, not an apical metathesis positive. It helps separate the two processes and avoids defining lowering by the presence of Cr. K80 p.498 prints Pengo hōr where DEDR gives sōr: preserve the source discrepancy, do not silently replace the database. Salt vocabulary can diffuse; the full southern/central contrast still independently establishes the earlier order. Nihali copo is a contact comparison, not a Dravidian language vote.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
5	d516	descend, bow; landing place	positive	alternative-cognacy	displacement	Kui;Kuwi	*i/eṟ-a-; *iṟ-aŋk- and *iṟ-av- formations	Tamil iṟai/iṟaŋku/iṟakku, Kannada eṟagu, Kodagu əraŋg and Telugu eṟãgu establish short vowel before the alveolar. The displayed elephant *yĀn-ay is a mislinked reconstruction and is excluded.	Eastern jāpa also belongs to cāy incline d2456; not two independent observations.	The database dates Old Telugu ṟēvu to tenth-century place names; these are source assertions pending inscription-level identification. Pengo jū has an unexplained vowel under a uniform low-a rule. K80 proposes moving some d2456 Kui jāpa/Manda forms here: treat that as a cognacy hypothesis, not an extra certain row. Irula ṟaŋgu may reflect local aphaeresis or contraction and has short/long variants. Toda hair-vow compound is explicitly borrowed from Tamil, distinct from inherited direction/swallow forms.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
6	d1574	cry, crow, make noise	positive	root-low-only	displacement	Kui	*kil-a/ay; *kil-i and expressive extensions	Tamil cilai, Malayalam cila/cilekka, Kannada kele and Tulu kele-puni independently support a low-a formation with initial k/c-V-l. Tamil cil and Gondi kil also supply a bare root; reduplicative shrieking stems have different morphology.	Southern cilai/kele supports low root derivative; labial eastern formation differs.	Postconsonantal l lies outside the narrow Telugu r/ṟ/ẓ metathesis set, while Kui admits it. This supports a structural language contrast, not simply a difference in frequency. Exact ancient morphology of the long ā Telugu expressive stem and klīri is not recoverable from the bare *kil head alone. Toda kīl ik is explicitly a Badaga loan; initial-loss Kota iḍ and alternative-cognacy jelk remain uncertain. Toda kv-style processes elsewhere must not be generalized to this root.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
7	d1818	pit, hollow, tube, dig	positive	different-formations	displacement	Kui;Kuwi	*ku/oẓ-i pit; *ku/oẓ-al/av tube; consonantal digging formations	Tamil kuẓi pit contrasts with kuẓal/kuẓai tube; Malayalam kuẓa/kuẓal and Kannada koẓal/koẓavi independently establish low-a tube formations. Gondi koṛi and Konda kuṛk corroborate initial k-V-apical order.	Independent low-a tube versus high-i pit; lowered pit and mid-vowel tube must not be interchanged.	K80 explicitly contrasts Kui pit kṛāu and tube krōḍu; that semantic distinction describes distribution without itself explaining a sound condition. Kui krūpa has another vowel/formation. Telugu kukki/goppu could be direct medial assimilation; do not infer concealed metathesis merely from lost ẓ. Kannada kōvi is explicitly Telugu borrowing. The porridge *kūẓ reconstruction attached to this group is not evidence for a long pit input.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
8	d1859	cut, reap, saw	positive	root-low-only	displacement	Kui	*ku/oṯ-ay; high-vowel and consonantal cut derivatives	Tamil kuṟai and Malayalam kuṟekka independently support low-ay cutting formation; Kannada koṟe and the shorter Tamil kuṟu support additional vowel histories. Central Dravidian kud/kut forms support medial apical but not identical suffixes.	Low-ay cut independent, precise eastern labial derivative is reconstructed.	K80’s low-a comparison has independent southern support, but exact causative p formation and its vowel remain reconstructed. Do not apply the expected short-root change to the Old Telugu long noun without establishing its grade. Cutting, boring and fire-kindling meanings may converge with d2168; the source explicitly questions some Kannada comparisons.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
9	d2018	kindred, family, friend	positive	root-low-only	displacement	Kui	short *ki/eḷ-ay and long *kēḷ; Kui nominal -mbu formation	Tamil kiḷai ramify/kindred and Kannada keḷe/geḷe independently establish a short low-formative series alongside Tamil kēḷ friend. Short vowel cannot be rejected merely because the dictionary headword selects long kēḷ.	Short kiḷai independent beside long kēḷ; Kui -mbu not attested in that comparandum.	The exact -mbu formative should be checked against Kui nominal morphology; Tamil kiḷai alone does not supply it. K80 prints old DED 1628, but the correct old number is 1678 (modern2018); 1628 is do1957. Badaga kliūgidu is a plant name with a different Kannada comparison and is not evidence for lateral displacement in friend; its inclusion would manufacture an exception to southern distribution.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
10	d3259	open	positive	root-low-only	displacement	Kui	*ti/eṯ-a; velar, labial and palatal extensions	Tamil tiṟa, Kannada teṟa/teṟe and Malayalam tuṟakka independently establish a low-a formative and t-V-apical order. Telugu teṟacu/teṟa retains that independently supported environment.	Southern low open formation independent; labial ending and initial cluster loss separate.	A clear low-a retained Telugu family versus broader eastern displacement. Gondi rehānā may show first-member loss, but its own suffix/vowel and donor history remain uncertain. Tulu jappuni/depp could involve medial assimilation plus initial t>j/d, not necessarily the same metathesis; Kurux/Malto tisg likewise preserves the first vowel despite loss/change of apical. Toda key tɨrp is explicitly alternatively compared with turn d3246 or Tamil borrowing and cannot be treated as an independent ordinary open reflex.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
