numeral	formation_class	language	analysis_token_id	record_id	form	gloss	family_id	source	dialect	outcome	exclusion	reading_issues	analysis
18	ten-compound-series	Phal	f_to76mhop6h5ny	f_to76mhop6h5ny	aṣṭṓš	eighteen	946	CDIAL		syllable-marked@-1			Palula aṣṭóoš/aṣṭáaš E corresponds to Kalkoti iṣṭaáš H2. Brokskat aṣṭõš also has final stress. The independent ten-compound series includes both mono- and polysyllabic modern words; its common Kalkoti H2 cannot be reduced to current syllable count.
18	ten-compound-series	Phal	f_pdt44yp6cutyo	f_pdt44yp6cutyo	ā́š	eighteen	946	CDIAL		syllable-marked@-1			Palula aṣṭóoš/aṣṭáaš E corresponds to Kalkoti iṣṭaáš H2. Brokskat aṣṭõš also has final stress. The independent ten-compound series includes both mono- and polysyllabic modern words; its common Kalkoti H2 cannot be reduced to current syllable count.
18	ten-compound-series	Sh	f_xnsj2hnhtmxae	f_xnsj2hnhtmxae	ẵṣṭáẽ	eighteen	946	CDIAL	dialect:Sh:gil:Gilgit	syllable-marked@position-unresolved		unequal-vowel-sequence	Palula aṣṭóoš/aṣṭáaš E corresponds to Kalkoti iṣṭaáš H2. Brokskat aṣṭõš also has final stress. The independent ten-compound series includes both mono- and polysyllabic modern words; its common Kalkoti H2 cannot be reduced to current syllable count.
18	ten-compound-series	Sh	f_4lmx6jg3bhbw6	f_4lmx6jg3bhbw6	aṣṭā́i	eighteen	946	CDIAL	dialect:Sh:koh:Kohistani	syllable-marked@position-unresolved		unequal-vowel-sequence	Palula aṣṭóoš/aṣṭáaš E corresponds to Kalkoti iṣṭaáš H2. Brokskat aṣṭõš also has final stress. The independent ten-compound series includes both mono- and polysyllabic modern words; its common Kalkoti H2 cannot be reduced to current syllable count.
18	ten-compound-series	Phal	f_cc4kwqzog2vbs	f_cc4kwqzog2vbs	aṣṭóoš	eighteen	946	liljegren		E@-1			Palula aṣṭóoš/aṣṭáaš E corresponds to Kalkoti iṣṭaáš H2. Brokskat aṣṭõš also has final stress. The independent ten-compound series includes both mono- and polysyllabic modern words; its common Kalkoti H2 cannot be reduced to current syllable count.
18	ten-compound-series	Phal	f_o6sre3bcleh5u	f_o6sre3bcleh5u	aṣṭáaš	eighteen	946	liljegren	dialect:Phal:biori:Biori	E@-1			Palula aṣṭóoš/aṣṭáaš E corresponds to Kalkoti iṣṭaáš H2. Brokskat aṣṭõš also has final stress. The independent ten-compound series includes both mono- and polysyllabic modern words; its common Kalkoti H2 cannot be reduced to current syllable count.
18	ten-compound-series	Phal	f_kqe64pbj6hoz6	f_kqe64pbj6hoz6	asṭʹôš	18	946	strand	dialect:Palula	E@-1			Palula aṣṭóoš/aṣṭáaš E corresponds to Kalkoti iṣṭaáš H2. Brokskat aṣṭõš also has final stress. The independent ten-compound series includes both mono- and polysyllabic modern words; its common Kalkoti H2 cannot be reduced to current syllable count.
19	nineteen-comparison	Sv	f_uhhefo723ybry	f_uhhefo723ybry	ũṛī́š	19	2411	CDIAL		syllable-marked@-1			Palula aṇabhiíš L and Kalkoti änbíiš H1 contain the twenty element, unlike 11–18 ten compounds. Their correspondence matches Palula bhiíš L/Kalkoti bíiš H1 twenty. Shina kuniih and Brokskat kunjaa have different one-less formations, so no identical whole-compound accent history is assumed.
19	nineteen-comparison	Phal	f_6eowhhn2kqhui	f_6eowhhn2kqhui	aṇabhī́š	19	2411	CDIAL		syllable-marked@-1			Palula aṇabhiíš L and Kalkoti änbíiš H1 contain the twenty element, unlike 11–18 ten compounds. Their correspondence matches Palula bhiíš L/Kalkoti bíiš H1 twenty. Shina kuniih and Brokskat kunjaa have different one-less formations, so no identical whole-compound accent history is assumed.
19	nineteen-comparison	Phal	f_g3otitvt6nhqg	f_g3otitvt6nhqg	aṇabhiíš	nineteen	2411	liljegren		L@-1			Palula aṇabhiíš L and Kalkoti änbíiš H1 contain the twenty element, unlike 11–18 ten compounds. Their correspondence matches Palula bhiíš L/Kalkoti bíiš H1 twenty. Shina kuniih and Brokskat kunjaa have different one-less formations, so no identical whole-compound accent history is assumed.
19	nineteen-comparison	Phal	f_65rmzwpxphwua	f_65rmzwpxphwua	aṇabhîʹš	19	2411	strand	dialect:Palula	L@-1			Palula aṇabhiíš L and Kalkoti änbíiš H1 contain the twenty element, unlike 11–18 ten compounds. Their correspondence matches Palula bhiíš L/Kalkoti bíiš H1 twenty. Shina kuniih and Brokskat kunjaa have different one-less formations, so no identical whole-compound accent history is assumed.
11	ten-compound-series	Sv	f_qvkqpi6ocobek	f_qvkqpi6ocobek	yakā́š	eleven	2485	CDIAL		syllable-marked@-1			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Phal	f_k2c6lonlpqule	f_k2c6lonlpqule	akā́š	eleven	2485	CDIAL		syllable-marked@-1			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Phal	f_ppckq73f4r6tw	f_ppckq73f4r6tw	°ōš	eleven	2485	CDIAL		unmarked			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_guq2pgbb5rpmm	f_guq2pgbb5rpmm	ăkāĭ	eleven	2485	CDIAL		unmarked		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Kalk	f_oabba3p3pwnwk	f_oabba3p3pwnwk	akaaš	eleven	2485	kalkoti	dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29	unmarked			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Kund	f_5k7wd6eaolepg	f_5k7wd6eaolepg	yagáy	eleven	2485	kund		H-marked			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Phal	f_ry3n7zva57zx2	f_ry3n7zva57zx2	akóoš	eleven	2485	liljegren		E@-1			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Phal	f_564q6wqzzap4c	f_564q6wqzzap4c	akáaš	eleven	2485	liljegren	dialect:Phal:biori:Biori	E@-1			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Phal	f_rxlntzehh2t2g	f_rxlntzehh2t2g	akʹôš	11	2485	strand	dialect:Palula	E@-1			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_dopcvu4ypvsju	f_dopcvu4ypvsju	ʌˈkɑi	eleven	2485	backstrom1992	dialect:Sh:Gupis:Gupis	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_u3hfcyi7gdguo	f_u3hfcyi7gdguo	ɛˈkɑi	eleven	2485	backstrom1992	dialect:Sh:punl:Puniali	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
