Partition	Family_ID	Entry_IDs	Language_ID	Raw_Language_IDs	Outcome_State	Has_D	Has_R	Has_O	Has_A	Has_B	Attested	Reviewed	Has_Unreviewed_Attested_Member	N_Database_Records	N_Unique_Cited_Form_IDs	Evidence_IDs	Evidence_Forms
primary	d63	d63	AluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Badaga	Badaga	R-bearing-no-D	0	1	0	0	0	1	1	0	6	2	f_bpzbaxoyirfqu;f_oc7fe2msqzc4m	adaku;adangu
primary	d63	d63	Belari		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	BettaKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Brahui		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Eravallan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Gadaba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Gondi		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Irula		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Kadar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Kannada	Kannada	R-bearing-no-D	0	1	0	1	0	1	1	0	7	4	f_4tqutz2cwl7ww;f_7gcqandki3nsw;f_c6s3bh7smuxme;f_e4siy5jtekrfw	aḍagu;aḍaku;aḍaŋgu;tāguḍi
primary	d63	d63	Kodagu	Kodagu	R-bearing-no-D	0	1	0	0	0	1	1	0	2	1	f_rv77sjjjndjkm	aḍak- (aḍaki-)
primary	d63	d63	Kolami	Kolami	borrowed-only	0	0	0	0	1	1	1	0	3	2	f_54sjr57ks4fa6;f_nnwitu2ittoui	ḍāp- (ḍāpt-);ḍāŋg- (ḍāŋkt-)
primary	d63	d63	Konda	Konda	D-bearing-no-R	1	0	0	0	0	1	1	0	2	2	f_bambfikmg7hwe;f_e2dymctjz7p7k	ḍāp;ḍāŋ- (-it-)
primary	d63	d63	Koraga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Kota	Kota	R-bearing-no-D	0	1	0	0	0	1	1	0	9	2	f_3ffda2nan4gsa;f_pe6n3sbv4xltm	aṛg- (aṛgy-);aṛk- (aṛky-)
primary	d63	d63	Kudiya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Kui	Kui	mixed	1	1	0	0	0	1	1	0	3	3	f_2lop65gm7nwpw;f_dzxs7wemkwyl6;f_wwn327xmgxgmo	āṛpa (āṛt-);āṭpa (āṭt-);ḍāpa (ḍāt-)
primary	d63	d63	Kurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Kurux	Kurux	R-bearing-no-D	0	1	0	0	0	1	1	0	1	1	f_njgmwhq3lchug	aṛknā
primary	d63	d63	Kuwi		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	MalaMalasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	MalaPulaya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Malasar		missing	0	0	0	0	0	0	0	0	0	0		
