test	language	prediction	scorable_families	consistent	conflicting	opposite	scope
old-long-barytone	Sh	E	24	20	2	2	Modern monosyllabic E/L forms, all nearest two-syllable old-long inputs, no manual nominal/formation restriction; exploratory falsification screen, not an established law.
old-long-barytone	Phal	E	22	19	1	2	Modern monosyllabic E/L forms, all nearest two-syllable old-long inputs, no manual nominal/formation restriction; exploratory falsification screen, not an established law.
old-long-barytone	Sv	E	0				Modern monosyllabic E/L forms, all nearest two-syllable old-long inputs, no manual nominal/formation restriction; exploratory falsification screen, not an established law.
old-long-barytone	Kalk	E	0				Modern monosyllabic E/L forms, all nearest two-syllable old-long inputs, no manual nominal/formation restriction; exploratory falsification screen, not an established law.
old-long-barytone	Kund	E	0				Modern monosyllabic E/L forms, all nearest two-syllable old-long inputs, no manual nominal/formation restriction; exploratory falsification screen, not an established law.
old-long-barytone	bro	E	0				Modern monosyllabic E/L forms, all nearest two-syllable old-long inputs, no manual nominal/formation restriction; exploratory falsification screen, not an established law.
old-long-barytone	Ush	E	0				Modern monosyllabic E/L forms, all nearest two-syllable old-long inputs, no manual nominal/formation restriction; exploratory falsification screen, not an established law.
old-long-oxytone	Sh	L	19	13	4	2	Modern monosyllabic E/L forms, all nearest two-syllable old-long inputs, no manual nominal/formation restriction; exploratory falsification screen, not an established law.
old-long-oxytone	Phal	L	14	9	1	4	Modern monosyllabic E/L forms, all nearest two-syllable old-long inputs, no manual nominal/formation restriction; exploratory falsification screen, not an established law.
old-long-oxytone	Sv	L	0				Modern monosyllabic E/L forms, all nearest two-syllable old-long inputs, no manual nominal/formation restriction; exploratory falsification screen, not an established law.
old-long-oxytone	Kalk	L	0				Modern monosyllabic E/L forms, all nearest two-syllable old-long inputs, no manual nominal/formation restriction; exploratory falsification screen, not an established law.
old-long-oxytone	Kund	L	0				Modern monosyllabic E/L forms, all nearest two-syllable old-long inputs, no manual nominal/formation restriction; exploratory falsification screen, not an established law.
old-long-oxytone	bro	L	0				Modern monosyllabic E/L forms, all nearest two-syllable old-long inputs, no manual nominal/formation restriction; exploratory falsification screen, not an established law.
old-long-oxytone	Ush	L	0				Modern monosyllabic E/L forms, all nearest two-syllable old-long inputs, no manual nominal/formation restriction; exploratory falsification screen, not an established law.
